"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster"
"122",679,"Point",2,"Sangat Rendah",0.116679,0.119021,0.097509,0.085861,0.079736,0.271018,0.239222,0.140077,0.001648,1
"123",940,"Point",2,"Sangat Rendah",0.118103,0.109805,0.085355,0.072998,0.042591,0.357026,0.159039,0.065433,0.001755,1
"124",727,"Point",2,"Sangat Rendah",0.11853,0.112051,0.088734,0.074967,0.047926,0.324684,0.173481,0.076087,0.001477,1
"125",554,"Point",2,"Sangat Rendah",0.11921,0.115119,0.091368,0.081692,0.054582,0.336383,0.219772,0.103586,0.001221,1
"126",735,"Point",2,"Sangat Rendah",0.120825,0.112971,0.089179,0.07548,0.046709,0.337128,0.184306,0.080375,0.001584,1
"127",573,"Point",2,"Sangat Rendah",0.127046,0.12078,0.100913,0.083821,0.086654,0.202089,0.231809,0.159963,0.001707,1
"128",585,"Point",2,"Sangat Rendah",0.127665,0.114752,0.091114,0.08251,0.052274,0.417078,0.223135,0.09957,0.001827,1
"129",771,"Point",2,"Sangat Rendah",0.130467,0.114261,0.090946,0.081027,0.056009,0.351473,0.21931,0.106325,0.001432,1
"130",584,"Point",2,"Sangat Rendah",0.132974,0.116318,0.092928,0.085234,0.05838,0.400692,0.23464,0.108698,0.001752,1
"131",645,"Point",2,"Sangat Rendah",0.13679,0.115455,0.09085,0.078396,0.048135,0.400931,0.184346,0.074551,0.002046,1
"132",383,"Point",2,"Sangat Rendah",0.137056,0.120892,0.098502,0.08404,0.063157,0.315247,0.198951,0.094936,0.002026,1
"133",687,"Point",2,"Sangat Rendah",0.138527,0.12055,0.098777,0.087463,0.082414,0.239291,0.208893,0.124668,0.001513,1
"134",467,"Point",2,"Sangat Rendah",0.140592,0.123449,0.101047,0.085659,0.06729,0.27942,0.203604,0.113324,0.001722,1
"135",737,"Point",2,"Sangat Rendah",0.140827,0.11469,0.090815,0.080091,0.052591,0.34926,0.208359,0.094898,0.001884,1
"136",846,"Point",2,"Sangat Rendah",0.14125,0.12504,0.105362,0.093087,0.081067,0.280763,0.195161,0.121176,0.001733,1
"137",620,"Point",2,"Sangat Rendah",0.14271,0.118261,0.096023,0.0825,0.073277,0.262811,0.265018,0.153899,0.00166,1
"138",542,"Point",2,"Sangat Rendah",0.143982,0.113568,0.09018,0.079564,0.052478,0.364521,0.206051,0.092676,0.00148,1
"139",534,"Point",2,"Sangat Rendah",0.146251,0.114503,0.090295,0.078111,0.05043,0.350775,0.185438,0.083388,0.001773,1
"140",336,"Point",2,"Sangat Rendah",0.151048,0.116063,0.091317,0.075191,0.046279,0.33895,0.164991,0.067767,0.001573,1
"141",776,"Point",2,"Sangat Rendah",0.151409,0.115508,0.091992,0.082494,0.057393,0.344703,0.216118,0.099901,0.001688,1
"142",853,"Point",2,"Sangat Rendah",0.154701,0.115569,0.092247,0.077091,0.061141,0.26742,0.16206,0.095349,0.00182,1
"143",331,"Point",2,"Sangat Rendah",0.154866,0.115678,0.090779,0.074474,0.045742,0.32964,0.160127,0.065434,0.001469,1
"144",831,"Point",2,"Sangat Rendah",0.155451,0.111037,0.086779,0.075158,0.05243,0.307173,0.155518,0.069635,0.001558,1
"145",816,"Point",2,"Sangat Rendah",0.158134,0.11239,0.089921,0.072439,0.056942,0.253385,0.138889,0.076573,0.001253,1
"146",736,"Point",2,"Sangat Rendah",0.159367,0.110935,0.086072,0.07108,0.043472,0.322008,0.163269,0.071274,0.0016,1
"147",538,"Point",2,"Sangat Rendah",0.160278,0.112104,0.087019,0.072172,0.044055,0.329872,0.157856,0.066503,0.001634,1
"148",745,"Point",2,"Sangat Rendah",0.162126,0.11385,0.08968,0.079541,0.051017,0.368795,0.203863,0.091714,0.001338,1
"149",605,"Point",2,"Sangat Rendah",0.16218,0.117373,0.094254,0.083918,0.058048,0.35536,0.223579,0.105326,0.002241,1
"150",333,"Point",2,"Sangat Rendah",0.167257,0.114763,0.090275,0.074622,0.045617,0.344531,0.169226,0.069046,0.001629,1
"151",734,"Point",2,"Sangat Rendah",0.170067,0.112745,0.088052,0.074674,0.050361,0.315246,0.17305,0.078617,0.001435,1
"152",337,"Point",2,"Sangat Rendah",0.170529,0.115809,0.090841,0.075842,0.047139,0.354143,0.170087,0.070813,0.002005,1
"153",643,"Point",2,"Sangat Rendah",0.179442,0.115321,0.091188,0.078501,0.047559,0.406429,0.173502,0.069477,0.001965,1
"154",733,"Point",2,"Sangat Rendah",0.181708,0.11332,0.089202,0.074437,0.047409,0.335907,0.175739,0.077473,0.001349,1
"155",644,"Point",2,"Sangat Rendah",0.182837,0.115217,0.090093,0.07724,0.048071,0.382608,0.178457,0.071752,0.002071,1
"156",539,"Point",2,"Sangat Rendah",0.183597,0.113742,0.08988,0.077472,0.052407,0.319143,0.178279,0.084711,0.001866,1
"157",530,"Point",2,"Sangat Rendah",0.184416,0.113034,0.089387,0.076815,0.049476,0.334843,0.182943,0.080655,0.001789,1
"158",656,"Point",2,"Sangat Rendah",0.185305,0.114826,0.091317,0.078842,0.055995,0.31499,0.206919,0.099679,0.001774,1
"159",338,"Point",2,"Sangat Rendah",0.186805,0.115925,0.090323,0.074317,0.045424,0.348646,0.165612,0.067334,0.001813,1
"160",340,"Point",2,"Sangat Rendah",0.187739,0.12097,0.096548,0.07947,0.057443,0.324516,0.187079,0.086857,0.002024,1
"161",834,"Point",2,"Sangat Rendah",0.188412,0.111455,0.087614,0.072986,0.051354,0.281857,0.145966,0.069426,0.001218,1
"162",381,"Point",2,"Sangat Rendah",0.189568,0.12008,0.096345,0.077956,0.056796,0.287723,0.169777,0.076627,0.002244,1
"163",332,"Point",2,"Sangat Rendah",0.192676,0.114959,0.090766,0.075662,0.046211,0.345022,0.166468,0.06849,0.001623,1
"164",609,"Point",2,"Sangat Rendah",0.199958,0.116453,0.093144,0.080384,0.059897,0.344218,0.208691,0.098101,0.001665,1
