"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster","kelas"
"146",695,"Point",3,"Rendah",0.291537,0.114821,0.090613,0.080089,0.048266,0.357316,0.187369,0.075959,0.001932,1,3
"147",537,"Point",3,"Rendah",0.209097,0.114007,0.090241,0.076017,0.050913,0.323303,0.174104,0.078833,0.001618,1,3
"148",533,"Point",3,"Rendah",0.24454,0.115262,0.091514,0.080685,0.053849,0.33416,0.187793,0.086681,0.001684,1,3
"149",676,"Point",3,"Rendah",0.297796,0.112791,0.088273,0.071523,0.043492,0.346908,0.167051,0.070925,0.001779,1,3
"150",215,"Point",3,"Rendah",0.285019,0.113681,0.089792,0.076196,0.049269,0.354858,0.168871,0.073612,0.001409,1,3
"151",925,"Point",3,"Rendah",0.221563,0.108311,0.083424,0.067406,0.039104,0.336986,0.148257,0.059242,0.001488,1,3
"152",664,"Point",3,"Rendah",0.231117,0.114343,0.089569,0.077077,0.046016,0.389985,0.172552,0.069841,0.001837,1,3
"153",476,"Point",3,"Rendah",0.283946,0.117418,0.093668,0.079696,0.053745,0.322159,0.174266,0.078476,0.001644,1,3
"154",339,"Point",3,"Rendah",0.222757,0.117103,0.092346,0.075742,0.049219,0.347664,0.17699,0.074372,0.002039,1,3
"155",629,"Point",3,"Rendah",0.204463,0.117605,0.095932,0.081432,0.070022,0.26223,0.204871,0.118669,0.001746,1,3
"156",763,"Point",3,"Rendah",0.286732,0.118998,0.096761,0.083004,0.066677,0.309931,0.196653,0.103328,0.001693,1,3
"157",627,"Point",3,"Rendah",0.278574,0.116126,0.09281,0.078247,0.059118,0.298339,0.160846,0.080062,0.001332,1,3
"158",757,"Point",3,"Rendah",0.233918,0.11529,0.09084,0.073315,0.055525,0.309912,0.182659,0.098347,0.001781,1,3
"159",642,"Point",3,"Rendah",0.271814,0.114193,0.090191,0.076794,0.045821,0.408381,0.175163,0.069647,0.001856,1,3
"160",726,"Point",3,"Rendah",0.240343,0.120151,0.099206,0.09042,0.085543,0.257927,0.206752,0.122401,0.002319,1,3
"161",281,"Point",3,"Rendah",0.249433,0.115402,0.090254,0.072049,0.043544,0.323193,0.156676,0.063739,0.001833,1,3
"162",849,"Point",3,"Rendah",0.294989,0.110518,0.086543,0.071023,0.049302,0.268975,0.135757,0.063118,0.001231,1,3
"163",752,"Point",3,"Rendah",0.218067,0.118139,0.096553,0.083233,0.069095,0.297404,0.198359,0.110406,0.001937,1,3
"164",829,"Point",3,"Rendah",0.218854,0.11067,0.087047,0.072895,0.050389,0.3045,0.161899,0.077011,0.001736,1,3
"165",702,"Point",3,"Rendah",0.203141,0.114633,0.090025,0.07676,0.047391,0.358336,0.172225,0.070868,0.001773,1,3
"166",659,"Point",3,"Rendah",0.298987,0.111516,0.086418,0.067188,0.042016,0.301859,0.138861,0.057641,0.001999,1,3
"167",654,"Point",3,"Rendah",0.286356,0.114096,0.0906,0.076657,0.052657,0.299783,0.185843,0.085999,0.001963,1,3
"168",805,"Point",3,"Rendah",0.294199,0.10736,0.082777,0.064662,0.040097,0.276112,0.120146,0.048113,0.00156,1,3
"169",939,"Point",3,"Rendah",0.259097,0.108842,0.084424,0.071054,0.040694,0.352953,0.155547,0.061559,0.001496,1,3
"170",217,"Point",3,"Rendah",0.290474,0.113571,0.08933,0.076867,0.046057,0.352804,0.162515,0.066959,0.001835,1,3
"171",677,"Point",3,"Rendah",0.295429,0.113004,0.088151,0.07324,0.043883,0.34434,0.164284,0.06743,0.002072,1,3
"172",675,"Point",4,"Rendah",0.316388,0.113994,0.08859,0.073322,0.04443,0.336174,0.154062,0.060607,0.001886,1,4
"173",288,"Point",4,"Rendah",0.36308,0.116121,0.090527,0.07376,0.04449,0.327035,0.158778,0.06473,0.001907,1,4
"174",1026,"Point",4,"Rendah",0.342652,0.106741,0.082407,0.066952,0.039763,0.314413,0.135408,0.055109,0.001621,1,4
"175",606,"Point",4,"Rendah",0.334504,0.115764,0.091159,0.077199,0.050987,0.350159,0.192878,0.088535,0.001852,1,4
"176",663,"Point",4,"Rendah",0.303457,0.112767,0.088316,0.074205,0.045033,0.374545,0.163247,0.06522,0.001632,1,4
"177",294,"Point",4,"Rendah",0.336259,0.116156,0.09107,0.077367,0.046255,0.360155,0.178789,0.074786,0.002116,1,4
"178",1033,"Point",4,"Rendah",0.336237,0.108193,0.084348,0.070828,0.045155,0.312694,0.141817,0.059781,0.001928,1,4
"179",661,"Point",4,"Rendah",0.392888,0.112543,0.087992,0.07308,0.043705,0.371092,0.165336,0.066532,0.001526,1,4
"180",719,"Point",4,"Rendah",0.385144,0.114462,0.089739,0.079087,0.04718,0.360997,0.168385,0.071208,0.001842,1,4
"181",291,"Point",4,"Rendah",0.369243,0.116271,0.091304,0.079196,0.046149,0.349914,0.168731,0.069704,0.001778,1,4
"182",549,"Point",4,"Rendah",0.337307,0.114758,0.090647,0.079337,0.053554,0.37911,0.194177,0.088294,0.001849,1,4
"183",923,"Point",4,"Rendah",0.340299,0.110808,0.086733,0.074049,0.045889,0.351461,0.163194,0.069173,0.001576,1,4
"184",693,"Point",4,"Rendah",0.352931,0.113222,0.088713,0.073821,0.045323,0.35165,0.159576,0.066626,0.002237,1,4
"185",1040,"Point",4,"Rendah",0.316672,0.107635,0.083321,0.066572,0.041201,0.311283,0.119168,0.046211,0.001713,1,4
"186",4,"Point",4,"Rendah",0.391074,0.112893,0.088817,0.075035,0.045138,0.365404,0.15769,0.064479,0.001367,1,4
"187",641,"Point",4,"Rendah",0.338944,0.113869,0.088892,0.074204,0.047902,0.363178,0.167323,0.069233,0.001848,1,4
"188",825,"Point",4,"Rendah",0.325956,0.109425,0.085374,0.071471,0.047132,0.277913,0.123502,0.054993,0.001968,1,4
"189",991,"Point",4,"Rendah",0.334844,0.107678,0.082963,0.067222,0.041737,0.28469,0.130949,0.054918,0.001519,1,4
"190",566,"Point",4,"Rendah",0.337727,0.114678,0.091285,0.075062,0.055723,0.325107,0.161112,0.076508,0.001628,1,4
