"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7"
"193",0.4,0.318,0.36,0.191,0.531,0.344,0.217
"194",0.325,0.34,0.475,0.283,0.543,0.594,0.38
"195",0.31,0.404,0.503,0.383,0.504,0.547,0.432
"196",0.309,0.282,0.371,0.246,0.399,0.328,0.252
"197",0.306,0.155,0.289,0.076,0.701,0.306,0.138
"198",0.355,0.271,0.373,0.132,0.595,0.364,0.19
"199",0.4,0.253,0.342,0.106,0.606,0.369,0.187
"200",0.306,0.192,0.256,0.203,0.315,0.166,0.144
"201",0.378,0.32,0.349,0.297,0.408,0.265,0.187
"202",0.317,0.217,0.31,0.107,0.569,0.298,0.139
"203",0.379,0.17,0.16,0.077,0.35,0.117,0.073
"204",0.335,0.288,0.411,0.204,0.619,0.491,0.299
"205",0.308,0.176,0.335,0.162,0.546,0.344,0.209
"206",0.335,0.043,0.18,0.067,0.448,0.204,0.11
"207",0.338,0.291,0.355,0.274,0.529,0.333,0.23
"208",0.455,0.216,0.322,0.106,0.587,0.26,0.132
"209",0.445,0.14,0.248,0.116,0.42,0.131,0.073
"210",0.437,0.264,0.456,0.165,0.747,0.433,0.217
"211",0.418,0.118,0.256,0.086,0.561,0.315,0.17
"212",0.5,0.177,0.344,0.104,0.706,0.314,0.146
"213",0.432,0.217,0.365,0.247,0.487,0.393,0.249
"214",0.462,0.203,0.266,0.084,0.551,0.225,0.109
"215",0.463,0.339,0.373,0.159,0.551,0.309,0.161
"216",0.415,0.13,0.268,0.09,0.532,0.163,0.071
"217",0.43,0.125,0.254,0.133,0.522,0.319,0.18
"218",0.443,0.129,0.113,0.037,0.404,0.158,0.075
"219",0.483,0.3,0.422,0.145,0.654,0.445,0.224
"220",0.486,0.091,0.194,0.056,0.475,0.137,0.055
"221",0.471,0.06,0.102,0.046,0.419,0.131,0.064
"222",0.453,0.13,0.233,0.086,0.527,0.305,0.163
"223",0.491,0.264,0.3,0.122,0.615,0.295,0.139
"224",0.441,0.129,0.251,0.114,0.433,0.138,0.072
"225",0.482,0.06,0.106,0.008,0.39,0.119,0.061
"226",0.495,0.204,0.254,0.092,0.602,0.265,0.168
"227",0.407,0.199,0.267,0.133,0.525,0.275,0.151
"228",0.409,0.264,0.451,0.282,0.43,0.343,0.247
"229",0.495,0.086,0.154,0.063,0.482,0.17,0.083
"230",0.404,0.157,0.303,0.106,0.626,0.33,0.157
"231",0.425,0.258,0.3,0.118,0.537,0.3,0.149
"232",0.467,0.36,0.363,0.193,0.486,0.362,0.208
"233",0.449,0.196,0.239,0.135,0.563,0.313,0.165
"234",0.428,0.381,0.411,0.26,0.462,0.41,0.25
"235",0.464,0.19,0.293,0.088,0.75,0.358,0.166
"236",0.496,0.247,0.259,0.093,0.445,0.285,0.143
"237",0.405,0.075,0.141,0.049,0.501,0.229,0.12
"238",0.408,0.038,0.047,0.04,0.27,0.061,0.04
"239",0.472,0.116,0.22,0.108,0.365,0.106,0.06
"240",0.492,0.293,0.513,0.184,0.614,0.451,0.234
"241",0.488,0.294,0.46,0.146,0.783,0.298,0.145
"242",0.473,0.354,0.437,0.197,0.455,0.337,0.195
"243",0.463,0.122,0.244,0.084,0.514,0.186,0.091
"244",0.492,0.259,0.311,0.097,0.576,0.334,0.166
"245",0.478,0.069,0.095,0.054,0.377,0.122,0.061
"246",0.423,0.098,0.162,0.054,0.51,0.141,0.059
"247",0.411,0.022,0.052,0.018,0.285,0.074,0.033
"248",0.415,0.117,0.204,0.066,0.588,0.345,0.176
"249",0.497,0.176,0.347,0.088,0.812,0.371,0.174
"250",0.472,0.118,0.214,0.133,0.328,0.119,0.082
"251",0.462,0.064,0.173,0.057,0.567,0.283,0.151
"252",0.406,0.109,0.267,0.087,0.634,0.327,0.168
"253",0.462,0.309,0.336,0.172,0.46,0.326,0.185
"254",0.462,0.247,0.402,0.135,0.735,0.37,0.17
"255",0.432,0.232,0.342,0.149,0.656,0.299,0.151
"256",0.493,0.159,0.247,0.11,0.51,0.253,0.135
"257",0.428,0.308,0.397,0.197,0.551,0.427,0.232
"258",0.441,0.16,0.296,0.121,0.57,0.358,0.195
"259",0.447,0.297,0.471,0.14,0.629,0.375,0.189
"260",0.473,0.076,0.153,0.06,0.464,0.181,0.091
"261",0.484,0.182,0.298,0.102,0.658,0.336,0.163
"262",0.416,0.124,0.242,0.122,0.455,0.184,0.102
"263",0.514,0.236,0.337,0.132,0.63,0.303,0.147
"264",0.599,0.164,0.261,0.141,0.446,0.194,0.139
"265",0.522,0.263,0.315,0.161,0.5,0.268,0.16
"266",0.559,0.28,0.328,0.127,0.661,0.349,0.18
"267",0.509,0.131,0.248,0.104,0.482,0.28,0.155
"268",0.596,0.145,0.308,0.134,0.522,0.245,0.139
"269",0.511,0.115,0.244,0.1,0.5,0.306,0.169
"270",0.568,0.197,0.249,0.105,0.544,0.194,0.101
"271",0.596,0.029,0.104,0.027,0.37,0.094,0.043
"272",0.526,0.097,0.207,0.073,0.524,0.163,0.069
"273",0.562,0.29,0.294,0.145,0.502,0.353,0.202
"274",0.52,0.225,0.253,0.077,0.685,0.343,0.161
"275",0.582,0.238,0.34,0.12,0.65,0.349,0.17
"276",0.577,0.061,0.163,0.047,0.53,0.215,0.109
